,gender,age,married,dependents,education,self_employed,business_type,applicant_income,applicant_work_period,coapplicant_income,credit_history,credit_amount,property_area,property_type,credit_rate,loan_amount,loan_term
278,1,31,1,0,0,0,31,2917,62,536.0,1.0,6032,3,1,5,1452,36
225,1,45,1,1,1,0,88,2750,29,1842.0,1.0,759,2,1,3,5175,24
70,1,30,1,2,0,0,93,4226,46,1040.0,1.0,1809,1,3,1,4950,40
75,0,33,0,2,1,0,36,3427,18,0.0,1.0,2077,1,1,8,5796,33
251,1,24,1,1,1,0,85,8072,53,240.0,1.0,3006,1,2,1,6578,28
529,0,46,0,0,1,0,53,4000,18,2275.0,1.0,3094,2,2,2,5616,40
367,1,33,1,0,1,0,50,1025,65,5500.0,,0,3,2,5,5832,36
382,0,33,1,0,1,0,94,3416,34,2816.0,,0,2,1,5,2712,28
275,1,26,0,0,0,1,43,5800,67,0.0,1.0,3880,2,1,5,3432,26
503,1,34,1,0,1,0,81,3033,67,1459.0,1.0,2943,1,1,3,4275,40
50,1,32,1,3,1,-1,85,4416,46,1250.0,1.0,1991,1,1,1,2420,33
454,0,29,0,0,1,0,22,4300,46,0.0,0.0,0,2,1,4,2720,28
154,1,36,1,1,0,0,79,2600,38,2500.0,1.0,3668,2,1,5,3780,24
130,1,32,1,2,1,0,71,8333,30,0.0,1.0,1599,2,3,2,11070,33
302,0,36,1,0,0,0,69,3017,35,663.0,,0,2,1,3,1836,30
135,1,39,0,2,1,0,1,3547,59,0.0,0.0,0,3,2,2,1440,40
64,1,21,1,2,0,0,56,3083,31,2168.0,1.0,2572,1,2,3,2268,36
465,0,40,0,0,1,0,80,4547,63,0.0,1.0,814,2,3,3,3450,26
220,1,61,1,1,1,0,4,3875,39,0.0,1.0,1735,1,2,3,1340,30
164,0,21,0,1,0,-1,45,5191,41,0.0,1.0,2000,2,1,3,4752,36
396,1,74,0,0,1,0,16,6283,25,4416.0,0.0,0,3,1,5,6270,36
134,1,23,1,2,1,0,5,3340,20,1710.0,0.0,0,3,2,2,5400,33
161,0,57,0,1,0,0,10,4606,42,0.0,1.0,3215,3,3,3,1620,30
310,1,22,1,0,0,1,93,4695,42,0.0,1.0,2305,1,1,2,3456,0
37,-1,41,0,3,1,1,96,9357,47,0.0,1.0,2509,2,2,3,7008,28
407,1,36,1,0,1,0,88,2383,51,3334.0,1.0,3189,2,3,4,3784,36
199,1,75,1,1,1,0,17,1880,20,0.0,,0,3,3,4,1098,33
27,1,35,1,3,1,0,51,6417,40,0.0,1.0,2891,3,1,5,5652,20
488,1,44,1,0,1,0,48,2785,62,2016.0,1.0,3441,3,2,3,3630,40
125,1,37,1,2,1,0,52,5780,47,0.0,1.0,3217,1,1,3,3840,33
11,0,50,0,3,0,0,14,1830,64,0.0,0.0,0,1,1,3,6742,26
391,1,26,1,0,1,0,55,4301,71,0.0,1.0,1514,1,1,5,2124,36
207,1,40,1,1,1,1,42,8666,8,4983.0,0.0,0,3,1,4,10152,30
470,1,72,1,0,1,0,33,7933,29,0.0,1.0,6407,1,3,3,6600,26
491,0,34,0,0,1,0,58,2900,45,0.0,1.0,3635,3,2,3,1988,30
423,0,49,0,0,1,0,98,2137,35,8980.0,0.0,0,2,2,4,2740,33
258,1,34,1,0,0,0,84,6033,54,0.0,1.0,2196,1,1,7,4320,28
170,1,28,1,1,0,0,44,2239,67,2524.0,1.0,3806,1,2,1,3840,28
332,0,49,0,0,1,0,92,2400,42,1863.0,0.0,0,1,3,7,3120,24
67,1,29,1,2,0,0,59,7667,56,0.0,,0,3,1,3,3700,33
507,1,42,1,0,1,1,53,9963,31,0.0,1.0,2881,3,1,3,3240,33
362,1,37,1,0,1,0,78,4600,28,0.0,1.0,3365,2,2,5,1752,13
111,1,41,1,2,1,0,49,2708,18,1167.0,1.0,967,2,2,3,2910,33
287,1,21,0,0,0,0,56,2927,64,2405.0,1.0,1745,2,1,4,3663,30
602,1,34,1,-1,0,0,81,3074,44,1800.0,0.0,0,2,1,2,2952,26
239,0,34,0,1,1,0,50,2876,24,1560.0,1.0,3150,1,1,2,3780,28
572,0,36,0,0,1,0,45,5000,65,0.0,1.0,532,3,3,1,5940,36
96,1,27,1,2,1,1,47,2726,50,0.0,0.0,0,2,1,5,2756,33
330,1,75,0,0,1,0,90,3418,72,0.0,1.0,4102,2,3,7,3810,30
425,1,33,0,0,1,0,48,4191,68,0.0,1.0,1925,3,2,4,4320,36
292,1,20,0,0,0,-1,9,7333,50,0.0,1.0,5929,3,3,3,3960,24
12,1,42,1,3,0,0,94,3850,71,983.0,1.0,1987,2,1,2,3000,33
116,1,37,1,2,1,1,70,5417,40,4196.0,1.0,2582,1,1,3,6408,40
100,1,38,1,2,1,1,96,4583,71,2083.0,1.0,1020,2,2,4,4160,28
51,-1,63,1,2,0,0,65,3365,39,1917.0,0.0,0,3,3,7,2912,33
210,0,21,1,1,1,0,57,4666,70,0.0,1.0,806,1,3,3,4860,26
233,1,21,1,1,1,0,72,10750,29,0.0,1.0,3374,1,2,2,5616,26
65,1,70,1,2,0,1,24,6383,67,1000.0,1.0,7344,3,2,3,7293,24
55,0,26,1,2,0,-1,51,210,67,2917.0,1.0,2952,2,3,4,1960,26
593,1,47,1,0,1,0,95,6250,53,0.0,1.0,2101,2,1,1,4992,26
152,1,37,1,1,0,0,81,5285,33,1430.0,0.0,0,2,3,5,5313,26
301,1,27,0,0,0,-1,45,2550,54,2042.0,1.0,3966,3,1,3,3528,40
60,1,51,1,2,0,0,4,2309,11,1255.0,0.0,0,3,1,4,4875,36
497,1,28,1,0,1,0,12,4652,32,3583.0,1.0,3844,2,1,3,4200,33
212,0,60,1,1,1,1,11,11500,46,0.0,0.0,0,1,3,3,9438,36
468,1,27,1,0,1,0,89,1828,37,1330.0,0.0,0,1,3,3,2600,0
341,1,52,1,0,1,0,84,5568,20,2142.0,1.0,4110,3,2,6,6300,30
173,1,34,0,1,1,1,95,4692,43,0.0,1.0,6099,3,3,8,2968,24
526,1,38,0,0,1,0,43,4683,47,1915.0,1.0,3400,2,3,2,7215,26
386,1,26,1,0,1,0,89,4750,67,2333.0,1.0,3808,1,1,5,4680,36
97,1,43,1,2,1,0,51,3276,43,484.0,,0,2,3,4,3510,30
581,1,28,1,0,1,0,8,3707,57,3166.0,1.0,2009,3,2,1,7098,0
151,1,30,1,2,1,0,77,3283,27,2035.0,1.0,3987,1,1,1,4440,33
361,1,45,0,0,1,0,99,3254,41,0.0,1.0,1448,1,2,5,2250,30
459,1,50,1,0,1,0,85,5695,40,4167.0,1.0,1842,2,3,3,5250,28
291,1,45,0,0,0,0,79,6783,50,0.0,1.0,850,2,3,3,3380,33
569,1,45,1,0,1,0,95,9328,47,0.0,1.0,1010,3,3,1,7896,15
372,1,51,1,0,1,0,70,8334,24,0.0,1.0,4397,2,2,5,5280,30
142,1,30,1,2,1,0,88,9703,57,0.0,1.0,1364,1,3,1,2240,24
592,1,50,0,0,1,1,15,6950,63,0.0,1.0,2200,2,1,1,5250,18
265,1,30,0,0,0,0,54,4885,53,0.0,1.0,3502,3,2,5,1296,40
68,1,49,1,2,0,0,46,2889,38,0.0,0.0,0,1,1,3,1350,13
86,1,25,1,2,1,1,37,6000,51,0.0,1.0,4722,2,3,5,8610,18
186,1,75,1,1,1,0,20,33846,67,0.0,1.0,5241,2,3,5,7800,30
384,1,34,1,0,1,0,67,7578,65,1010.0,1.0,891,2,1,5,7350,0
168,1,46,1,1,0,0,69,4554,38,1229.0,1.0,1709,1,2,1,4740,26
286,0,73,0,0,0,0,94,3400,53,0.0,1.0,5222,3,2,4,3420,24
193,1,50,1,1,1,1,54,3466,50,1210.0,1.0,1775,3,1,5,2860,24
374,0,41,0,0,1,0,33,5000,33,0.0,0.0,0,2,2,5,2472,33
194,1,35,1,1,1,0,63,1782,55,2232.0,1.0,3702,3,1,5,3531,24
245,1,45,1,1,1,0,92,2882,65,1843.0,1.0,961,2,3,1,3198,48
41,1,45,1,3,1,0,60,4106,56,0.0,1.0,3460,3,3,2,880,12
153,1,33,0,1,0,0,84,3596,55,0.0,,0,1,1,5,2600,16
252,1,31,1,1,1,0,66,2214,69,1398.0,,0,1,1,1,1870,36
101,1,63,1,2,1,0,80,4566,62,0.0,1.0,3192,1,2,4,2600,24
610,1,24,-1,-1,1,0,62,3816,41,754.0,1.0,3190,1,1,2,2880,30
492,1,74,0,0,1,0,89,3167,15,0.0,1.0,4673,1,2,3,3330,30
236,1,49,1,1,1,0,80,8080,38,2250.0,1.0,2662,1,1,2,3600,30
381,1,22,0,0,1,0,78,2014,63,1929.0,1.0,637,1,1,5,2442,36
155,1,32,1,1,0,0,70,3399,37,1640.0,1.0,1863,1,3,4,3663,12
335,1,52,0,0,1,0,46,1916,68,5063.0,,0,3,2,7,3015,28
442,0,35,0,0,1,0,60,3237,24,0.0,1.0,2384,1,1,4,840,30
184,1,21,1,1,1,0,60,3155,27,1779.0,1.0,1493,2,3,5,3640,24
159,1,28,1,1,0,0,99,4050,57,5302.0,,0,3,1,4,4968,28
246,0,46,0,1,1,-1,48,3652,32,0.0,1.0,699,2,3,1,3705,28
215,0,33,1,1,1,0,68,3326,51,913.0,1.0,2559,2,2,3,1890,6
565,-1,39,1,0,1,0,96,3087,63,2210.0,0.0,0,2,1,2,5712,26
486,0,32,0,0,1,0,43,2995,66,0.0,1.0,2361,1,2,3,1620,30
201,1,41,1,1,1,0,41,5468,27,1032.0,1.0,1080,2,2,4,468,24
460,1,40,0,0,1,0,49,5316,67,0.0,1.0,3982,1,3,3,3808,33
224,1,35,1,1,1,0,63,3315,34,0.0,1.0,556,2,1,3,2112,33
188,1,46,1,1,1,0,64,3750,48,0.0,1.0,3597,2,2,5,3016,33
294,1,29,0,0,0,0,81,3358,30,0.0,1.0,3870,2,3,3,3360,2
437,1,31,1,0,1,0,55,5821,60,0.0,1.0,3048,1,1,4,4752,30
244,1,30,1,1,1,1,69,7787,49,0.0,1.0,998,1,3,1,7200,24
176,1,58,1,1,1,0,11,4945,68,0.0,0.0,0,3,1,8,6640,26
158,1,47,1,1,0,0,72,1958,51,2436.0,1.0,2476,3,1,4,3668,33
123,1,46,1,2,1,0,53,5185,66,0.0,1.0,2724,2,1,3,5580,24
82,1,30,1,2,1,0,35,5042,65,2083.0,1.0,2236,3,3,5,6105,40
273,0,42,0,0,0,0,88,1963,29,0.0,1.0,2940,2,1,5,1431,33
417,1,56,1,0,1,0,87,3708,10,2569.0,1.0,6510,1,3,4,6228,36
234,1,41,1,1,1,1,34,2395,53,0.0,1.0,2300,2,2,2,6000,36
138,1,30,1,2,1,0,66,6540,42,0.0,1.0,1967,2,1,2,6150,33
371,0,21,0,0,1,1,47,7441,34,0.0,1.0,7558,3,2,5,6402,28
78,1,37,1,2,1,0,10,11417,68,1126.0,1.0,1069,1,3,5,6075,33
538,1,26,0,0,1,0,59,3750,69,0.0,1.0,2717,1,2,2,3000,40
262,1,28,1,0,0,1,96,4344,6,736.0,1.0,6348,2,1,6,1566,30
264,1,34,1,0,0,0,78,6096,69,0.0,0.0,0,3,3,5,5668,24
539,1,32,1,0,1,1,41,2479,56,3013.0,1.0,3477,1,2,2,5076,40
516,1,36,0,0,1,1,54,5166,69,0.0,1.0,540,2,3,2,3456,30
534,1,47,1,0,1,0,48,5708,58,5625.0,1.0,3506,2,2,2,4488,28
515,1,49,0,0,1,0,82,2971,36,2791.0,1.0,1434,2,3,2,4032,36
42,1,31,1,3,1,0,70,2666,56,2083.0,1.0,2392,3,2,2,3990,26
462,1,23,0,0,1,0,92,4095,33,3447.0,1.0,953,3,3,3,3926,36
289,0,41,0,0,0,1,88,18165,71,0.0,1.0,3540,1,1,4,5250,26
518,1,43,1,0,1,0,47,3704,63,2000.0,1.0,671,3,3,2,3120,24
429,1,35,1,0,1,0,66,2768,44,1950.0,1.0,1562,3,2,4,4650,24
413,1,34,1,0,1,0,99,150,8,1800.0,1.0,4488,3,3,4,3645,28
604,1,37,1,-1,1,0,98,5667,72,2667.0,1.0,2478,3,2,5,5400,26
79,1,27,0,2,1,0,41,4923,34,0.0,0.0,0,2,3,5,5478,40
599,1,45,1,-1,0,1,40,4735,18,0.0,1.0,5431,1,3,6,6210,24
43,1,36,1,3,1,0,78,9504,56,0.0,1.0,2137,3,2,2,12375,30
401,0,46,0,0,1,0,83,4166,58,0.0,1.0,1450,2,3,4,968,36
509,1,42,0,0,1,0,25,3750,54,0.0,1.0,3781,1,1,3,3729,40
259,1,45,0,0,0,0,48,6045,37,0.0,0.0,0,3,1,7,3795,26
274,0,27,0,0,0,0,94,4350,46,0.0,1.0,1401,3,1,5,6006,24
288,1,34,0,0,0,0,94,2699,42,2785.0,,0,2,1,4,2880,24
478,0,42,0,0,1,0,69,3762,63,1666.0,1.0,608,3,2,3,5670,24
441,-1,44,1,0,1,1,91,674,37,5296.0,1.0,2382,3,1,4,5040,33
203,1,37,1,1,1,0,93,2787,29,1917.0,0.0,0,3,2,4,5256,26
537,1,46,1,0,1,0,45,14880,35,0.0,1.0,1375,2,2,2,2880,33
282,1,23,1,0,0,0,94,2167,49,2400.0,1.0,2511,1,3,4,3220,26
6,1,57,1,3,0,0,21,3992,51,0.0,1.0,2965,1,1,5,5000,15
255,1,74,1,0,0,0,68,7660,10,0.0,0.0,0,1,2,8,1872,30
485,1,49,1,0,1,-1,63,6256,24,0.0,,0,1,2,3,6720,28
144,1,34,0,2,1,0,81,4354,53,0.0,1.0,2916,3,3,1,2448,24
190,1,35,1,1,1,0,95,1625,39,1803.0,1.0,610,1,2,5,3744,24
612,1,67,0,-1,1,0,12,2987,2,0.0,0.0,0,2,1,2,1760,30
469,0,54,1,0,1,0,91,4583,4,0.0,1.0,6195,3,3,3,2184,28
552,1,40,0,0,1,0,57,4917,32,0.0,0.0,0,3,1,2,2600,24
118,1,49,1,2,1,0,94,4009,71,1717.0,1.0,742,2,1,3,3480,24
162,1,25,0,1,0,1,17,2769,52,1542.0,,0,2,2,3,5700,33
583,0,39,0,0,1,0,66,3244,28,0.0,1.0,1743,1,2,1,3360,30
404,0,38,0,0,1,1,76,3463,35,0.0,,0,1,3,4,3294,33
393,0,69,0,0,1,0,13,2378,33,0.0,1.0,5522,3,1,5,1380,33
218,1,65,1,1,1,0,66,3089,32,1280.0,0.0,0,2,2,3,3146,40
223,1,47,1,1,1,0,70,2491,54,2054.0,1.0,734,2,1,3,2080,30
271,0,49,0,0,0,0,58,1907,51,2365.0,1.0,2333,1,1,5,3360,0
474,1,43,1,0,1,0,82,1977,39,997.0,1.0,3917,2,2,3,1350,24
355,1,62,0,0,1,0,81,2435,50,0.0,1.0,5364,1,3,5,2250,36
